read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
1560615,batch04,45.0,60.0,1,4,3,804,Klhl2;Fto,2
1560626,batch01,60.0,60.0,1,3,2,1105,Inpp4b,1
1560648,batch01,40.0,60.0,3,3,3,1312,Cpeb4;Gm3500;Gm8091,3
1560756,batch01,50.333333333333336,60.0,1,3,2,889,Cog2,1
1560770,batch01,60.0,60.0,2,2,2,586,Fgd4,1
1560796,batch01,60.0,60.0,1,4,2,938,Fgd3;Hrh2,2
1560843,batch01,60.0,60.0,1,3,2,1391,Camk2b,1
1560932,batch03,43.333333333333336,60.0,2,3,2,798,G3bp2;Uhmk1,2
1560980,batch01,45.875,60.0,2,16,2,3133,Pcca,1
1561017,batch02,60.0,60.0,1,3,2,1431,5730522E02Rik,1
1561057,batch04,27.0,16.0,2,3,2,950,Myadml2os,1
1561075,batch04,54.22222222222222,60.0,1,9,4,2075,Sox5;Slco1a6,2
1561119,batch03,24.5625,9.0,4,16,4,3772,Gm29264,1
1561124,batch04,60.0,60.0,1,2,2,651,Pdzrn3,1
1561132,batch04,42.333333333333336,60.0,1,3,2,843,Jade2,1
1561153,batch03,55.2,60.0,1,5,2,1444,Gm45435,1
1561165,batch01,60.0,60.0,2,2,2,739,Spop,1
1561170,batch01,42.5,42.5,2,2,2,950,Cdc27,1
1561262,batch03,37.13333333333333,60.0,4,15,7,3941,Unc5d;Csmd1,2
1561315,batch04,60.0,60.0,2,5,2,1804,Pip4k2b;Lamc1;Lamc2,3
1561329,batch03,60.0,60.0,2,3,2,845,Neo1,1
1561340,batch01,60.0,60.0,2,2,2,640,Mtmr4;Gm43666,2
1561399,batch01,60.0,60.0,2,2,2,955,Fyb,1
1561429,batch04,29.25,24.0,1,4,3,942,Rnf135;Suz12,2
1561535,batch01,50.25,60.0,1,4,3,1027,Zmat4,1
1561581,batch03,30.571428571428573,14.0,1,7,2,1678,Znrf3;Wdpcp,2
1561645,batch01,52.4,60.0,2,5,2,1535,Mrpl30;Snf8;Mitd1,3
1561673,batch04,60.0,60.0,2,3,2,977,Dram1;Aldh3a2,2
1561697,batch01,33.5,33.5,2,2,2,1022,Fam178b,1
1561718,batch03,60.0,60.0,2,2,2,726,Nalf1,1
1561727,batch04,60.0,60.0,2,2,2,589,St6galnac3;Gm20708,2
1561839,batch04,15.142857142857142,1.0,4,7,4,1214,Chl1;Ptprg,2
1561853,batch03,60.0,60.0,1,2,2,841,Snx25,1
1561925,batch03,13.588235294117647,1.0,5,17,5,4169,Phtf2,1
1561962,batch01,49.5,53.0,3,4,3,1070,Pex14,1
1562027,batch04,60.0,60.0,2,6,3,1881,Ralgps1;Kbtbd12;Plxna1,3
1562209,batch04,60.0,60.0,2,4,2,1219,Emid1;Gm53024,2
1562229,batch01,60.0,60.0,1,4,2,1311,Ralgps1;Optn,2
1562239,batch04,49.0,60.0,2,4,4,1572,Tdrp;Arhgef18,2
1562240,batch04,53.0,60.0,1,3,2,885,Tnrc6c,1
1562242,batch03,32.2,40.0,3,5,3,1405,Ccdc146,1
1562300,batch01,51.333333333333336,60.0,1,3,2,1020,Zdhhc8;Prodh;Pi4ka,3
1562347,batch01,46.8,60.0,2,5,2,1256,Sema5b;Gm45083,2
1562382,batch01,40.333333333333336,60.0,2,3,2,910,Smim22,1
1562383,batch04,30.25,30.5,3,4,4,1283,Kremen1;Pip4k2a,2
1562391,batch04,60.0,60.0,1,2,2,957,Qtrt2;Slc49a4,2
1562537,batch01,52.142857142857146,60.0,3,7,4,2166,9530026P05Rik;Amn1;Bicd1;Senp5,4
1562540,batch04,40.333333333333336,60.0,3,3,3,954,Bpifb9b;Rgsl1,2
1562730,batch04,18.5,7.0,1,4,2,1016,Gm14335,1
1562923,batch01,34.5,38.5,2,4,2,878,Babam2,1
1562966,batch03,60.0,60.0,1,2,2,712,Pon3,1
1563064,batch03,46.2,60.0,2,5,2,1180,Gm16984;Rptor,2
1563176,batch04,55.333333333333336,60.0,1,6,2,1426,Aldh3b3;Tmem134,2
1563203,batch03,48.0,57.0,2,3,2,915,Mdga2;Srsf10,2
1563222,batch04,60.0,60.0,1,3,2,1016,Cep112,1
1563243,batch03,60.0,60.0,2,2,2,631,Gm44710,1
1563276,batch04,38.4,60.0,2,5,2,1020,Pgm5,1
1563285,batch01,60.0,60.0,2,2,2,747,Chd6,1
1563301,batch01,60.0,60.0,2,2,2,790,Tsbp1,1
1563331,batch03,57.75,60.0,1,4,2,1170,Msh4;Tyw3,2
1563342,batch01,60.0,60.0,2,3,2,972,Gm29865,1
1563395,batch04,50.0,60.0,2,6,3,1626,Rap1gds1;Zbtb7b,2
1563416,batch03,53.0,53.0,2,2,2,942,Amph,1
1563454,batch01,40.0,60.0,2,3,3,876,4933405D12Rik,1
1563462,batch04,30.0,30.0,2,2,2,546,Wwtr1;Gm17067,2
1563474,batch04,46.0,60.0,2,4,2,1426,Hacl1;Parg,2
1563536,batch03,49.0,60.0,1,3,2,702,Vmn1r41,1
1563555,batch04,50.666666666666664,60.0,2,3,2,1102,Mroh8;Plxna4,2
1563610,batch03,49.333333333333336,60.0,2,3,2,786,Atad5,1
1563635,batch01,46.333333333333336,60.0,2,6,4,1811,Pard3;Antxr1;Dnajb8,3
1563636,batch01,47.5,47.5,2,2,2,510,Srgap3;Gm12320,2
1563667,batch01,39.2,60.0,3,5,3,1300,Sorbs2;Capn7;Colq,3
1563675,batch04,60.0,60.0,2,3,3,1144,Ift122,1
1563684,batch04,60.0,60.0,1,2,2,662,Gm31108,1
1563751,batch01,44.166666666666664,60.0,3,6,4,1324,Recql;Pth1r,2
1563763,batch04,57.0,60.0,4,6,4,2112,Erc1;Nrg1,2
1563780,batch01,55.1578947368421,60.0,1,38,2,7175,Cav1;Met;Tfec;Cav2;Gm15581,5
1563798,batch03,60.0,60.0,1,3,2,1612,Tnip3,1
1563799,batch04,50.4,60.0,1,5,2,1567,Exoc4;Add2,2
1563803,batch01,45.0,60.0,3,4,3,1369,Mad2l1;Dnah8,2
1563819,batch01,60.0,60.0,1,2,2,602,Plxna4,1
1563834,batch04,55.0,60.0,1,10,3,2746,Aebp2;Sox5;Lmntd1,3
1563904,batch04,60.0,60.0,2,3,2,1102,Gm49387;Eaf1,2
1563924,batch04,53.333333333333336,59.0,3,3,3,981,Marchf1,1
1563927,batch04,49.111111111111114,60.0,1,9,2,1550,Vmn2r112,1
1564033,batch01,40.0,60.0,3,3,3,851,Pitpnm3,1
1564040,batch04,60.0,60.0,2,3,2,946,Dennd2b,1
1564090,batch03,54.5,60.0,2,6,2,1400,Or10k2,1
1564170,batch01,15.0,0.0,1,4,3,842,Gm7696;Ppp1r12c;Gm18200,3
1564302,batch04,14.928571428571429,4.0,5,14,5,3798,Tenm4;Drg1,2
1564313,batch03,60.0,60.0,1,2,2,778,Scaf8,1
1564385,batch04,31.0,32.5,3,6,4,1245,Tenm3;Gm19744,2
1564394,batch01,47.5,60.0,2,4,2,1206,Tpst1;Gng12;Gusb,3
1564423,batch04,60.0,60.0,1,3,2,1017,Gm47153;Gm31816,2
1564465,batch01,48.666666666666664,60.0,3,3,3,897,Pgd;Asb3,2
1564470,batch04,50.833333333333336,60.0,2,6,3,1478,Tspan5;Arhgef28,2
1564534,batch01,60.0,60.0,2,4,2,1102,Slc47a1,1
1564549,batch04,48.25,47.5,4,4,4,1196,Ino80c,1
1564566,batch04,60.0,60.0,2,2,2,829,Flnc,1
1564652,batch04,50.5,60.0,2,4,2,1110,Trmt9b;Mest,2
1564654,batch04,57.5,57.5,2,2,2,579,Tenm3,1
1564698,batch04,60.0,60.0,3,4,3,1812,Pip4k2a;Gm45589,2
1564703,batch01,49.5,56.0,2,4,3,1111,Arhgap10;Gm10649,2
1564705,batch04,60.0,60.0,1,2,2,677,Vegfc;Gm45455,2
1564709,batch04,48.5,60.0,3,4,3,1250,BC048644;Car5a,2
1564767,batch04,60.0,60.0,1,3,2,1072,Gm34099;Galntl6,2
1564804,batch04,48.0,60.0,2,3,2,773,Tmem98,1
1564846,batch04,46.8,60.0,2,5,2,1508,Myh10;Gm49252,2
1564949,batch04,60.0,60.0,1,4,2,1481,Braf;Tmem178b;Dennd11,3
1564952,batch01,42.25,52.5,2,4,3,1283,Usp29;Zfp773;Zfp28,3
1564971,batch02,48.111111111111114,60.0,4,9,5,1919,Bicd1,1
1564976,batch01,60.0,60.0,1,2,2,1186,Zim3;Hspbp1,2
1565004,batch01,40.333333333333336,60.0,2,3,2,734,Sctr;Apba1,2
1565036,batch04,57.0,60.0,3,5,4,1554,Dpp3;Gm15862;Gm44596,3
1565037,batch03,60.0,60.0,1,3,2,954,1700030F04Rik;Frmd4b,2
1565076,batch03,35.5,35.5,2,2,2,566,Gm50445,1
1565086,batch01,60.0,60.0,1,2,2,1122,Psma5,1
1565125,batch01,60.0,60.0,2,3,2,829,Sec22a;Syn2,2
1565171,batch03,49.3,60.0,1,10,3,2736,Arhgef2;Flad1;Arnt,3
1565176,batch04,60.0,60.0,2,2,2,866,Phtf1,1
1565179,batch03,60.0,60.0,1,3,2,836,Tnik,1
1565180,batch01,38.0,46.0,2,4,4,1317,Gm3675;Sox2ot,2
1565212,batch01,56.333333333333336,60.0,1,3,2,1004,Mtmr14,1
